Sezione1
0	0.00	0.675
60	8.589	0.675
120	8.466	0.675
180	8.344	0.674
240	8.221	0.674
300	8.098	0.673
360	7.975	0.673
420	7.852	0.673
480	7.73	0.672
540	7.607	0.672
600	7.484	0.671
660	7.361	0.671
720	7.238	0.671
780	7.115	0.67
840	6.993	0.67
900	6.87	0.669
960	6.747	0.669
1020	6.624	0.669
1080	6.501	0.668
1140	6.379	0.668
1200	6.256	0.667
1260	6.133	0.667
1320	6.01	0.667
1380	5.887	0.666
1440	5.765	0.666
1500	5.642	0.665
1560	5.519	0.665
1620	5.396	0.665
1680	5.273	0.664
1740	5.15	0.664
1800	5.028	0.663
1860	4.905	0.663
1920	4.782	0.663
1980	4.659	0.662
2040	4.536	0.662
2100	4.414	0.661
2160	4.291	0.661
2220	4.168	0.661
2280	4.045	0.66
2340	3.922	0.66
2400	3.799	0.659
2460	3.677	0.659
2520	3.554	0.659
2580	3.431	0.658
2640	3.308	0.658
2700	3.185	0.657
2760	3.063	0.657
2820	2.94	0.657
2880	2.817	0.656
2940	2.694	0.656
3000	2.571	0.655
3060	2.449	0.655
3120	2.326	0.655
3180	2.203	0.654
3240	2.08	0.654
3300	1.957	0.653
3360	1.834	0.653
3420	1.712	0.653
3480	1.589	0.652
3540	1.466	0.652
3600	1.343	0.651
3660	1.22	0.651
3720	1.098	0.651
3780	0.975	0.65
3840	0.852	0.65
3900	0.729	0.65
3960	0.606	0.649
4020	0.483	0.649
4080	0.361	0.648
4140	0.238	0.648
4200	0.115	0.648
4256	0.00	0.647
	END
