Sezione1
0	0.00	0.465
60	13.671	0.465
120	13.488	0.462
180	13.304	0.459
240	13.12	0.456
300	12.937	0.453
360	12.753	0.45
420	12.57	0.447
480	12.386	0.444
540	12.203	0.441
600	12.019	0.438
660	11.835	0.435
720	11.652	0.433
780	11.468	0.43
840	11.285	0.427
900	11.101	0.424
960	10.917	0.421
1020	10.734	0.418
1080	10.55	0.415
1140	10.367	0.412
1200	10.183	0.409
1260	10.00	0.406
1320	9.816	0.403
1380	9.632	0.4
1440	9.449	0.398
1500	9.265	0.395
1560	9.082	0.392
1620	8.898	0.389
1680	8.715	0.386
1740	8.531	0.383
1800	8.347	0.38
1860	8.164	0.377
1920	7.98	0.374
1980	7.797	0.371
2040	7.613	0.368
2100	7.43	0.366
2160	7.246	0.363
2220	7.062	0.36
2280	6.879	0.357
2340	6.695	0.354
2400	6.512	0.351
2460	6.328	0.348
2520	6.145	0.345
2580	5.961	0.342
2640	5.777	0.339
2700	5.594	0.336
2760	5.41	0.333
2820	5.227	0.331
2880	5.043	0.328
2940	4.859	0.325
3000	4.676	0.322
3060	4.492	0.319
3120	4.309	0.316
3180	4.125	0.313
3240	3.942	0.31
3300	3.758	0.307
3360	3.574	0.304
3420	3.391	0.301
3480	3.207	0.299
3540	3.024	0.296
3600	2.84	0.293
3660	2.657	0.29
3720	2.473	0.287
3780	2.289	0.284
3840	2.106	0.281
3900	1.922	0.278
3960	1.739	0.275
4020	1.555	0.272
4080	1.372	0.269
4140	1.188	0.266
4200	1.004	0.264
4260	0.821	0.261
4320	0.637	0.258
4380	0.454	0.255
4440	0.27	0.252
4500	0.086	0.249
4528	0.00	0.248
	END
